pathway,n_genes_pathway,n_genes_found,mean_rank,median_rank,pvalue,u_statistic,fdr_q
Negative Regulation Of Protein Dephosphorylation (GO:0035308),19,2,956.5,956.5,0.11753902851948583,1910.0,0.7681879648411135
Protein-Containing Complex Disassembly (GO:0032984),62,3,1171.6666666666667,1031.0,0.11781953734320456,3509.0,0.7681879648411135
mRNA Modification (GO:0016556),27,4,1284.5,1328.0,0.11838414612935297,5128.0,0.7681879648411135
Fat Cell Differentiation (GO:0045444),62,3,1174.3333333333333,1595.0,0.11862640272156573,3517.0,0.7681879648411135
Negative Regulation Of Translation (GO:0017148),107,14,1613.5714285714287,1321.0,0.11872046529079872,22485.0,0.7681879648411135
Zymogen Activation (GO:0031638),45,4,1287.25,1384.0,0.11936204139782272,5139.0,0.7681879648411135
Negative Regulation Of Dephosphorylation (GO:0035305),10,2,964.0,964.0,0.11939046215878499,1925.0,0.7681879648411135
Cellular Response To Catecholamine Stimulus (GO:0071870),19,2,964.5,964.5,0.11951443979342546,1926.0,0.7681879648411135
Establishment Of Spindle Orientation (GO:0051294),35,2,965.0,965.0,0.11963841742806594,1927.0,0.7681879648411135
Establishment Of Mitotic Spindle Orientation (GO:0000132),29,2,965.0,965.0,0.11963841742806594,1927.0,0.7681879648411135
Establishment Of Mitotic Spindle Localization (GO:0040001),34,2,965.0,965.0,0.11963841742806594,1927.0,0.7681879648411135
Regulation Of Neuronal Synaptic Plasticity (GO:0048168),34,4,1289.0,1394.5,0.11998703549733704,5146.0,0.7681879648411135
Post-Translational Protein Modification (GO:0043687),48,1,474.0,474.0,0.12018255578093219,473.0,0.7681879648411135
DNA Replication Initiation (GO:0006270),21,2,968.5,968.5,0.12050831859062637,1934.0,0.7681879648411135
Glutamine Family Amino Acid Metabolic Process (GO:0009064),31,3,1180.6666666666667,1172.0,0.12055745360657709,3536.0,0.7681879648411135
Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220),30,3,1181.0,668.0,0.12065966427421562,3537.0,0.7681879648411135
Cellular Response To Xenobiotic Stimulus (GO:0071466),26,3,1181.3333333333333,1028.0,0.12076193268799407,3538.0,0.7681879648411135
Regulation Of Mononuclear Cell Migration (GO:0071675),22,3,1183.0,1686.0,0.12127414163410859,3543.0,0.7681879648411135
Positive Regulation Of Macrophage Chemotaxis (GO:0010759),13,3,1183.0,1686.0,0.12127414163410859,3543.0,0.7681879648411135
Medium-Chain Fatty Acid Metabolic Process (GO:0051791),14,1,479.0,479.0,0.12145030425963399,478.0,0.7681879648411135
Myeloid Dendritic Cell Activation (GO:0001773),13,1,480.0,480.0,0.12170385395537435,479.0,0.7681879648411135
Defense Response To Protozoan (GO:0042832),15,1,480.0,480.0,0.12170385395537435,479.0,0.7681879648411135
Acute-Phase Response (GO:0006953),13,1,481.0,481.0,0.12195740365111471,480.0,0.7681879648411135
Regulation Of Calcium-Mediated Signaling (GO:0050848),30,4,1295.25,1306.5,0.1222362890402055,5171.0,0.7681879648411135
Organelle Membrane Fusion (GO:0090174),26,1,483.0,483.0,0.12246450304259543,482.0,0.7681879648411135
Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433),149,12,1590.8333333333333,1386.0,0.12246468292952156,19012.0,0.7681879648411135
Epidermis Development (GO:0008544),85,7,1466.7142857142858,200.0,0.12266373084951011,10239.0,0.7681879648411135
Cellular Response To Interleukin-1 (GO:0071347),81,6,1425.6666666666667,1130.5,0.12297520533195978,8533.0,0.7681879648411135
Negative Regulation Of Bone Remodeling (GO:0046851),11,2,979.0,979.0,0.12313679877401038,1955.0,0.7681879648411135
Positive Regulation Of Fatty Acid Biosynthetic Process (GO:0045723),13,2,979.0,979.0,0.12313679877401038,1955.0,0.7681879648411135
Cardiac Epithelial To Mesenchymal Transition (GO:0060317),19,1,486.0,486.0,0.12322515212981651,485.0,0.7681879648411135
Positive Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030511),24,2,982.0,982.0,0.12389301090231539,1961.0,0.7681879648411135
Positive Regulation Of Cellular Response To Transforming Growth Factor Beta Stimulus (GO:1903846),24,2,982.0,982.0,0.12389301090231539,1961.0,0.7681879648411135
Positive Regulation Of MHC Class II Biosynthetic Process (GO:0045348),10,1,493.0,493.0,0.12499999999999903,492.0,0.7681879648411135
Regulation Of MHC Class II Biosynthetic Process (GO:0045346),14,1,493.0,493.0,0.12499999999999903,492.0,0.7681879648411135
Protein Localization To Condensed Chromosome (GO:1903083),10,1,497.0,497.0,0.12601419878296052,496.0,0.7681879648411135
"Protein Localization To Chromosome, Centromeric Region (GO:0071459)",18,1,497.0,497.0,0.12601419878296052,496.0,0.7681879648411135
Branched-Chain Amino Acid Catabolic Process (GO:0009083),17,1,498.0,498.0,0.1262677484787009,497.0,0.7681879648411135
Protein Polyubiquitination (GO:0000209),226,18,1666.111111111111,1691.0,0.12629224478080597,29819.0,0.7681879648411135
Regulation Of Protein Ubiquitination (GO:0031396),113,8,1508.125,1415.0,0.12674017005249386,12029.0,0.7681879648411135
Negative Regulation Of Protein Polymerization (GO:0032272),26,2,994.0,994.0,0.126941008766402,1985.0,0.7681879648411135
Negative Regulation Of Actin Filament Polymerization (GO:0030837),23,2,994.0,994.0,0.126941008766402,1985.0,0.7681879648411135
Negative Regulation Of Cell Cycle (GO:0045786),85,13,1612.7692307692307,1133.0,0.12697170875824565,20875.0,0.7681879648411135
Negative Regulation Of Cell Division (GO:0051782),11,1,502.0,502.0,0.1272819472616624,501.0,0.7681879648411135
Pseudouridine Synthesis (GO:0001522),12,1,505.0,505.0,0.12804259634888351,504.0,0.7681879648411135
Antiviral Innate Immune Response (GO:0140374),46,3,1205.3333333333333,1260.0,0.12827809411191532,3610.0,0.7681879648411135
Phospholipid Metabolic Process (GO:0006644),69,5,1385.4,1113.0,0.1286678846796515,6912.0,0.7681879648411135
Branched-Chain Amino Acid Metabolic Process (GO:0009081),15,2,1001.5,1001.5,0.12886484843091134,2000.0,0.7681879648411135
Regulation Of mRNA Catabolic Process (GO:0061013),46,5,1392.4,556.0,0.13159995491712678,6947.0,0.7681879648411135
Positive Regulation Of Biosynthetic Process (GO:0009891),44,3,1215.6666666666667,1149.0,0.1316079690896119,3641.0,0.7681879648411135
Protein-Containing Complex Organization (GO:0043933),126,8,1518.125,1227.5,0.13200901975696666,12109.0,0.7681879648411135
Positive Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090200),25,1,521.0,521.0,0.1320993914807295,520.0,0.7681879648411135
Plasma Membrane Bounded Cell Projection Organization (GO:0120036),132,11,1589.7272727272727,2101.0,0.13214138543606763,17421.0,0.7681879648411135
Acylglycerol Homeostasis (GO:0055090),24,2,1014.5,1014.5,0.13223372201950825,2026.0,0.7681879648411135
Triglyceride Homeostasis (GO:0070328),31,2,1014.5,1014.5,0.13223372201950825,2026.0,0.7681879648411135
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),90,7,1486.4285714285713,1330.0,0.13228878099085908,10377.0,0.7681879648411135
Negative Regulation Of Phosphoprotein Phosphatase Activity (GO:0032515),20,1,523.0,523.0,0.13260649087221024,522.0,0.7681879648411135
Regulation Of Protein Phosphorylation (GO:0001932),265,15,1646.4,1810.0,0.13324889535117296,24576.0,0.7681879648411135
Skeletal Muscle Tissue Development (GO:0007519),42,5,1396.4,694.0,0.13329464677887928,6967.0,0.7681879648411135
"Chemical Synaptic Transmission, Postsynaptic (GO:0099565)",25,6,1449.3333333333333,1362.5,0.1337311848675691,8675.0,0.7681879648411135
Regulation Of Postsynaptic Membrane Potential (GO:0060078),35,6,1449.3333333333333,1362.5,0.1337311848675691,8675.0,0.7681879648411135
Regulation Of SMAD Protein Signal Transduction (GO:0060390),27,2,1021.5,1021.5,0.13406573592558055,2040.0,0.7681879648411135
Positive Regulation Of Striated Muscle Cell Differentiation (GO:0051155),25,3,1225.0,1378.0,0.13466469102519124,3669.0,0.7681879648411135
Carbohydrate Catabolic Process (GO:0016052),41,2,1025.0,1025.0,0.13498643705254235,2047.0,0.7681879648411135
Negative Regulation Of Lipid Catabolic Process (GO:0050995),18,2,1026.5,1026.5,0.1353820337373495,2050.0,0.7681879648411135
Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277),70,9,1555.2222222222222,1471.0,0.13556081142039428,13952.0,0.7681879648411135
Establishment Of Epithelial Cell Polarity (GO:0090162),19,2,1029.0,1029.0,0.13604256188207306,2055.0,0.7681879648411135
Endosomal Transport (GO:0016197),180,15,1650.3333333333333,1683.0,0.13615465169115482,24635.0,0.7681879648411135
Regulation Of Protein Sumoylation (GO:0033233),17,1,537.0,537.0,0.13615618661257547,536.0,0.7681879648411135
Regulation Of Protein Modification By Small Protein Conjugation Or Removal (GO:1903320),29,1,537.0,537.0,0.13615618661257547,536.0,0.7681879648411135
Cellular Response To Salt (GO:1902075),109,14,1639.7142857142858,1180.0,0.13668165767102586,22851.0,0.7681879648411135
Regulation Of DNA Repair (GO:0006282),129,16,1661.875,1560.5,0.1371339600942315,26454.0,0.7681879648411135
Positive Regulation Of Translational Initiation (GO:0045948),21,3,1233.0,1106.0,0.1373221071141598,3693.0,0.7681879648411135
Organelle Organization (GO:0006996),418,42,1781.595238095238,1645.0,0.13735290870789157,73924.0,0.7681879648411135
Regulation Of SNARE Complex Assembly (GO:0035542),12,2,1035.5,1035.5,0.1377675743441404,2068.0,0.7681879648411135
Smooth Muscle Cell Differentiation (GO:0051145),11,2,1036.0,1036.0,0.13790068311162265,2069.0,0.7681879648411135
Brain Development (GO:0007420),169,17,1672.5882352941176,2031.0,0.13825157793499832,28281.0,0.7681879648411135
Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404),22,2,1038.5,1038.5,0.1385673844165773,2074.0,0.7681879648411135
Regulation Of Mitochondrial Membrane Permeability (GO:0046902),18,1,547.0,547.0,0.1386916835699792,546.0,0.7681879648411135
Regulation Of Actin Cytoskeleton Organization (GO:0032956),91,12,1616.9166666666667,1531.5,0.13934165570042056,19325.0,0.7681879648411135
Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),90,10,1583.6,2155.5,0.13978968147673476,15781.0,0.7681879648411135
Protein Localization To Cell Surface (GO:0034394),26,6,1462.3333333333333,1341.5,0.13989259245519817,8753.0,0.7681879648411135
Response To Cadmium Ion (GO:0046686),21,2,1044.5,1044.5,0.14017394936671096,2086.0,0.7681879648411135
Lipid Biosynthetic Process (GO:0008610),71,2,1044.5,1044.5,0.14017394936671096,2086.0,0.7681879648411135
Mitochondrial Respiratory Chain Complex I Assembly (GO:0032981),53,4,1342.75,1129.0,0.1402062908165686,5361.0,0.7681879648411135
NADH Dehydrogenase Complex Assembly (GO:0010257),53,4,1342.75,1129.0,0.1402062908165686,5361.0,0.7681879648411135
Cellular Modified Amino Acid Catabolic Process (GO:0042219),13,1,554.0,554.0,0.14046653144016183,553.0,0.7681879648411135
Aspartate Family Amino Acid Catabolic Process (GO:0009068),11,1,554.0,554.0,0.14046653144016183,553.0,0.7681879648411135
Negative Regulation Of Lymphocyte Proliferation (GO:0050672),39,2,1046.0,1046.0,0.1405770052867973,2089.0,0.7681879648411135
Positive Regulation Of DNA-templated DNA Replication (GO:2000105),10,2,1046.5,1046.5,0.14071152873683251,2090.0,0.7681879648411135
Regulation Of Retinoic Acid Receptor Signaling Pathway (GO:0048385),12,1,556.0,556.0,0.14097363083164258,555.0,0.7681879648411135
Protein Targeting To ER (GO:0045047),23,2,1047.5,1047.5,0.14098070424440773,2092.0,0.7681879648411135
Tail-Anchored Membrane Protein Insertion Into ER Membrane (GO:0071816),16,2,1047.5,1047.5,0.14098070424440773,2092.0,0.7681879648411135
Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane (GO:0006620),14,2,1047.5,1047.5,0.14098070424440773,2092.0,0.7681879648411135
Protein Insertion Into ER Membrane (GO:0045048),29,2,1047.5,1047.5,0.14098070424440773,2092.0,0.7681879648411135
Primary Neural Tube Formation (GO:0014020),28,2,1048.0,1048.0,0.14111535630194774,2093.0,0.7681879648411135
Tube Closure (GO:0060606),29,2,1048.0,1048.0,0.14111535630194774,2093.0,0.7681879648411135
Intracellular Iron Ion Homeostasis (GO:0006879),50,3,1244.3333333333333,1153.0,0.14114628836435172,3727.0,0.7681879648411135
Endosome To Lysosome Transport (GO:0008333),57,4,1345.25,1454.5,0.1411949427534276,5371.0,0.7681879648411135
Regulation Of Secretion By Cell (GO:1903530),64,6,1465.6666666666667,1349.5,0.1415014332011931,8773.0,0.7681879648411135
Lysosomal Transport (GO:0007041),105,8,1536.0,1454.5,0.1417841517822583,12252.0,0.7681879648411135
Carboxylic Acid Transmembrane Transport (GO:1905039),39,1,561.0,561.0,0.14224137931034445,560.0,0.7681879648411135
Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010640),12,1,563.0,563.0,0.1427484787018252,562.0,0.7681879648411135
Negative Regulation Of Platelet-Derived Growth Factor Receptor Signaling Pathway (GO:0010642),11,1,563.0,563.0,0.1427484787018252,562.0,0.7681879648411135
Regulation Of Cell Development (GO:0060284),52,7,1507.0,914.0,0.14284882660654538,10521.0,0.7681879648411135
Regulation Of Cellular Metabolic Process (GO:0031323),45,3,1250.0,1065.0,0.14308471901029374,3744.0,0.7681879648411135
Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),57,5,1419.2,1136.0,0.14322191078082147,7081.0,0.7681879648411135
Cell-Cell Junction Assembly (GO:0007043),71,8,1539.125,1391.0,0.14354024861917497,12277.0,0.7681879648411135
Regulation Of Cell Differentiation (GO:0045595),193,13,1637.6153846153845,1596.0,0.1441133623581452,21198.0,0.7681879648411135
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243),61,12,1624.6666666666667,953.5,0.14464764418853177,19418.0,0.7681879648411135
"DNA Damage Response, Signal Transduction By P53 Class Mediator (GO:0030330)",36,4,1354.0,805.5,0.14468892038513506,5406.0,0.7681879648411135
Protein Targeting To Mitochondrion (GO:0006626),59,7,1510.7142857142858,1035.0,0.14481191257641038,10547.0,0.7681879648411135
Regulation Of Protein Autophosphorylation (GO:0031952),31,6,1474.1666666666667,1475.5,0.14565757935943602,8824.0,0.7681879648411135
Long-Term Memory (GO:0007616),20,3,1263.0,758.0,0.1475985925548587,3783.0,0.7681879648411135
Positive Regulation Of Response To Biotic Stimulus (GO:0002833),41,4,1362.75,1379.0,0.14823525548502928,5441.0,0.7681879648411135
Dendrite Morphogenesis (GO:0048813),35,4,1363.5,1153.5,0.1485416604796706,5444.0,0.7681879648411135
Skeletal System Development (GO:0001501),149,12,1630.4166666666667,1654.5,0.14867119870870404,19487.0,0.7681879648411135
Cellular Response To Interferon-Beta (GO:0035458),22,1,589.0,589.0,0.1493407707910749,588.0,0.7681879648411135
Response To Interferon-Beta (GO:0035456),29,1,589.0,589.0,0.1493407707910749,588.0,0.7681879648411135
Negative Regulation Of Protein Localization To Nucleus (GO:1900181),22,4,1365.5,1162.5,0.14936061728508673,5452.0,0.7681879648411135
Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045),106,11,1617.6363636363637,1511.0,0.15035281685707602,17728.0,0.7681879648411135
Response To Light Stimulus (GO:0009416),60,6,1484.1666666666667,1557.5,0.15064576438751312,8884.0,0.7681879648411135
Circulatory System Development (GO:0072359),132,10,1601.2,1436.0,0.1509599695349369,15957.0,0.7681879648411135
Regulation Of Innate Immune Response (GO:0045088),78,4,1369.5,1266.0,0.15100671655801368,5468.0,0.7681879648411135
Telomere Maintenance (GO:0000723),68,9,1581.4444444444443,1558.0,0.1511957680179008,14188.0,0.7681879648411135
Regulation Of Stem Cell Population Maintenance (GO:2000036),56,4,1371.25,1092.5,0.15173031482778374,5475.0,0.7681879648411135
Regulation Of Hippo Signaling (GO:0035330),25,3,1275.6666666666667,1157.0,0.15208708314744046,3821.0,0.7681879648411135
Regulation Of DNA-directed DNA Polymerase Activity (GO:1900262),12,1,601.0,601.0,0.1523833671399594,600.0,0.7681879648411135
Mitotic DNA Replication (GO:1902969),10,1,601.0,601.0,0.1523833671399594,600.0,0.7681879648411135
Positive Regulation Of DNA-directed DNA Polymerase Activity (GO:1900264),12,1,601.0,601.0,0.1523833671399594,600.0,0.7681879648411135
Extrinsic Apoptotic Signaling Pathway (GO:0097191),67,6,1488.3333333333333,1277.5,0.1527556264544349,8909.0,0.7681879648411135
Pyroptosis (GO:0070269),28,3,1279.0,1076.0,0.15328320125882836,3831.0,0.7681879648411135
Positive Regulation Of Mitochondrion Organization (GO:0010822),58,4,1375.5,1040.0,0.15349630932567418,5492.0,0.7681879648411135
Regulation Of Protein Secretion (GO:0050708),102,3,1279.6666666666667,1321.0,0.153523174934951,3833.0,0.7681879648411135
Regulation Of Clathrin-Dependent Endocytosis (GO:2000369),15,2,1095.0,1095.0,0.15406278824157024,2187.0,0.7681879648411135
Negative Regulation Of MAP Kinase Activity (GO:0043407),51,3,1281.6666666666667,1864.0,0.15424459853745423,3839.0,0.7681879648411135
Myelination In Peripheral Nervous System (GO:0022011),12,2,1099.0,1099.0,0.1551909332737967,2195.0,0.7681879648411135
Neurogenesis (GO:0022008),49,7,1530.0,1603.0,0.155282578495379,10682.0,0.7681879648411135
Ventricular Septum Morphogenesis (GO:0060412),27,2,1099.5,1099.5,0.15533227292158705,2196.0,0.7681879648411135
Connective Tissue Development (GO:0061448),38,1,618.0,618.0,0.15669371196754575,617.0,0.7681879648411135
Regulation Of Lipid Metabolic Process (GO:0019216),54,2,1106.0,1106.0,0.15717508985806358,2209.0,0.7681879648411135
Regulation Of Cell Migration (GO:0030334),434,37,1785.027027027027,1892.0,0.15717677733382923,65343.0,0.7681879648411135
Postreplication Repair (GO:0006301),22,1,620.0,620.0,0.1572008113590265,619.0,0.7681879648411135
Regulation Of Nucleocytoplasmic Transport (GO:0046822),16,2,1107.0,1107.0,0.15745956965871163,2211.0,0.7681879648411135
Regulation Of Intracellular Transport (GO:0032386),38,2,1107.0,1107.0,0.15745956965871163,2211.0,0.7681879648411135
Fatty Acid Beta-Oxidation (GO:0006635),49,4,1386.0,1561.5,0.1579120176030564,5534.0,0.7681879648411135
Bone Morphogenesis (GO:0060349),14,1,623.0,623.0,0.15796146044624762,622.0,0.7681879648411135
Myotube Cell Development (GO:0014904),14,1,623.0,623.0,0.15796146044624762,622.0,0.7681879648411135
Skeletal Muscle Fiber Development (GO:0048741),11,1,623.0,623.0,0.15796146044624762,622.0,0.7681879648411135
Embryonic Appendage Morphogenesis (GO:0035113),10,1,623.0,623.0,0.15796146044624762,622.0,0.7681879648411135
Negative Regulation Of Fibroblast Proliferation (GO:0048147),17,1,623.0,623.0,0.15796146044624762,622.0,0.7681879648411135
Cytoplasmic Translational Initiation (GO:0002183),30,3,1292.0,640.0,0.15800797917056073,3870.0,0.7681879648411135
Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),186,15,1678.8,1564.0,0.15847340418415523,25062.0,0.7681879648411135
Regulation Of GTPase Activity (GO:0043087),214,19,1712.157894736842,1471.0,0.1589201266815392,32341.0,0.7681879648411135
Positive Regulation Of Cellular Response To Insulin Stimulus (GO:1900078),13,1,628.0,628.0,0.1592292089249495,627.0,0.7681879648411135
Positive Regulation Of Insulin Receptor Signaling Pathway (GO:0046628),12,1,628.0,628.0,0.1592292089249495,627.0,0.7681879648411135
Negative Regulation Of Gene Expression (GO:0010629),336,31,1769.3870967741937,1564.0,0.15938174828375296,54355.0,0.7681879648411135
Negative Regulation Of Actin Filament Bundle Assembly (GO:0032232),28,2,1115.5,1115.5,0.15988806517211035,2228.0,0.7681879648411135
Negative Regulation Of Stress Fiber Assembly (GO:0051497),25,2,1115.5,1115.5,0.15988806517211035,2228.0,0.7681879648411135
Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090199),41,3,1297.3333333333333,758.0,0.15997409654584394,3886.0,0.7681879648411135
Nucleic Acid-Templated Transcription (GO:0097659),40,3,1297.3333333333333,1761.0,0.15997409654584394,3886.0,0.7681879648411135
Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),117,5,1456.0,1573.0,0.16020663122679998,7265.0,0.7681879648411135
Positive Regulation Of T Cell Migration (GO:2000406),25,1,634.0,634.0,0.16075050709939173,633.0,0.7681879648411135
Negative Regulation Of Alpha-Beta T Cell Activation (GO:0046636),10,1,634.0,634.0,0.16075050709939173,633.0,0.7681879648411135
Positive Regulation Of Lymphocyte Migration (GO:2000403),16,1,634.0,634.0,0.16075050709939173,633.0,0.7681879648411135
Regulation Of T Cell Migration (GO:2000404),23,1,634.0,634.0,0.16075050709939173,633.0,0.7681879648411135
Skin Development (GO:0043588),68,2,1120.0,1120.0,0.16118121363301288,2237.0,0.7681879648411135
Atrioventricular Valve Morphogenesis (GO:0003181),19,2,1123.5,1123.5,0.16219065393829618,2244.0,0.7681879648411135
Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197),40,2,1125.0,1125.0,0.1626241898370234,2247.0,0.7681879648411135
Regulation Of Glycogen Biosynthetic Process (GO:0005979),25,2,1125.5,1125.5,0.16276887327993889,2248.0,0.7681879648411135
Regulation Of Regulatory T Cell Differentiation (GO:0045589),22,6,1508.3333333333333,1387.0,0.16314011931201702,9029.0,0.7681879648411135
Negative Regulation Of Double-Strand Break Repair (GO:2000780),33,3,1306.0,1043.0,0.16320370924981245,3912.0,0.7681879648411135
Response To Nerve Growth Factor (GO:1990089),13,2,1127.5,1127.5,0.16334812148162017,2252.0,0.7681879648411135
Regulation Of Nucleotide-Excision Repair (GO:2000819),26,4,1398.75,1303.5,0.16337445661733097,5585.0,0.7681879648411135
Inflammatory Response (GO:0006954),236,11,1637.0,1787.0,0.1639278358760391,17941.0,0.7681879648411135
Autophagosome Organization (GO:1905037),61,4,1400.5,1128.5,0.16413278142541338,5592.0,0.7681879648411135
Positive Regulation Of Phosphatase Activity (GO:0010922),22,2,1130.5,1130.5,0.16421892289671433,2258.0,0.7681879648411135
Negative Regulation Of Proteasomal Protein Catabolic Process (GO:1901799),39,4,1400.75,1270.5,0.16424128223337917,5593.0,0.7681879648411135
Intracellular Monoatomic Cation Homeostasis (GO:0030003),190,10,1621.2,1457.0,0.16435601506448538,16157.0,0.7681879648411135
Intrinsic Apoptotic Signaling Pathway In Response To DNA Damage (GO:0008630),49,2,1132.5,1132.5,0.1648007432484919,2262.0,0.7681879648411135
Regulation Of Cell-Substrate Adhesion (GO:0010810),44,3,1311.0,1004.0,0.1650865694150729,3927.0,0.7681879648411135
Regulation Of Cell Fate Specification (GO:0042659),14,2,1133.5,1133.5,0.1650920392468951,2264.0,0.7681879648411135
Regulation Of Cell Fate Commitment (GO:0010453),13,2,1133.5,1133.5,0.1650920392468951,2264.0,0.7681879648411135
Response To Leucine (GO:0043201),10,1,652.0,652.0,0.16531440162271846,651.0,0.7681879648411135
Cellular Response To Leucine Starvation (GO:1990253),12,1,652.0,652.0,0.16531440162271846,651.0,0.7681879648411135
Cellular Response To Leucine (GO:0071233),10,1,652.0,652.0,0.16531440162271846,651.0,0.7681879648411135
Gene Expression (GO:0010467),296,17,1705.3529411764705,1812.0,0.16619470481375626,28838.0,0.7681879648411135
Cellular Response To Tumor Necrosis Factor (GO:0071356),119,10,1625.3,1625.5,0.16719461209362735,16198.0,0.7681879648411135
Protein Destabilization (GO:0031648),36,2,1141.5,1141.5,0.16743166697446735,2280.0,0.7681879648411135
Negative Regulation Of Cytokine Production (GO:0001818),178,14,1680.5,1708.5,0.16825316192296724,23422.0,0.7681879648411135
Acute Inflammatory Response (GO:0002526),26,3,1320.6666666666667,1681.0,0.16876768401639194,3956.0,0.7681879648411135
Negative Regulation Of Viral Entry Into Host Cell (GO:0046597),18,1,666.0,666.0,0.1688640973630837,665.0,0.7681879648411135
Regulation Of Viral Entry Into Host Cell (GO:0046596),44,1,666.0,666.0,0.1688640973630837,665.0,0.7681879648411135
Negative Regulation Of Viral Life Cycle (GO:1903901),20,1,666.0,666.0,0.1688640973630837,665.0,0.7681879648411135
Kidney Development (GO:0001822),71,3,1321.0,1549.0,0.16889557977556263,3957.0,0.7681879648411135
Stress Fiber Assembly (GO:0043149),14,2,1147.0,1147.0,0.16904967799252943,2291.0,0.7681879648411135
Contractile Actin Filament Bundle Assembly (GO:0030038),14,2,1147.0,1147.0,0.16904967799252943,2291.0,0.7681879648411135
Collagen Fibril Organization (GO:0030199),42,1,667.0,667.0,0.16911764705882407,666.0,0.7681879648411135
"Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)",23,3,1322.3333333333333,1513.0,0.16940779987940588,3961.0,0.7681879648411135
Positive Regulation Of mRNA Processing (GO:0050685),28,3,1322.3333333333333,1513.0,0.16940779987940588,3961.0,0.7681879648411135
Negative Regulation Of Cell Projection Organization (GO:0031345),50,8,1583.125,1493.0,0.16975795277146766,12629.0,0.7681879648411135
Vesicle-Mediated Transport (GO:0016192),411,37,1794.5405405405406,1938.0,0.16977161076714448,65695.0,0.7681879648411135
Regulation Of T Cell Differentiation (GO:0045580),47,4,1413.75,1389.5,0.16994132590320682,5645.0,0.7681879648411135
Positive Regulation Of Cell Migration (GO:0030335),272,21,1736.4761904761904,1844.0,0.17046918752147183,36235.0,0.7681879648411135
Response To UV (GO:0009411),100,11,1646.3636363636363,1528.0,0.17076902694147522,18044.0,0.7681879648411135
Regulation Of Interleukin-13 Production (GO:0032656),15,2,1154.5,1154.5,0.17126867188058648,2306.0,0.7681879648411135
Positive Regulation Of Interleukin-4 Production (GO:0032753),18,2,1154.5,1154.5,0.17126867188058648,2306.0,0.7681879648411135
Positive Regulation Of T-helper Cell Differentiation (GO:0045624),12,2,1154.5,1154.5,0.17126867188058648,2306.0,0.7681879648411135
Positive Regulation Of Interleukin-13 Production (GO:0032736),10,2,1154.5,1154.5,0.17126867188058648,2306.0,0.7681879648411135
Positive Regulation Of Type 2 Immune Response (GO:0002830),13,2,1154.5,1154.5,0.17126867188058648,2306.0,0.7681879648411135
Negative Regulation Of Cellular Senescence (GO:2000773),17,3,1328.3333333333333,727.0,0.17172535673868053,3979.0,0.7681879648411135
Response To BMP (GO:0071772),23,3,1330.3333333333333,1497.0,0.1725024233471021,3985.0,0.7681879648411135
Regulation Of Neurotransmitter Transport (GO:0051588),21,3,1331.3333333333333,740.0,0.17289180537275736,3988.0,0.7681879648411135
Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),80,9,1616.2222222222222,1378.0,0.17371471527539584,14501.0,0.7681879648411135
Cellular Response To Growth Factor Stimulus (GO:0071363),155,17,1713.8235294117646,1567.0,0.17397466795008065,28982.0,0.7681879648411135
Peptidyl-Serine Modification (GO:0018209),166,16,1705.875,1800.5,0.1740175917352274,27158.0,0.7681879648411135
Cell-Cell Junction Organization (GO:0045216),68,6,1528.6666666666667,1368.5,0.17413241996168355,9151.0,0.7681879648411135
Regulation Of mRNA Polyadenylation (GO:1900363),10,2,1165.0,1165.0,0.174399492977773,2327.0,0.7681879648411135
T Cell Homeostasis (GO:0043029),15,1,688.0,688.0,0.17444219066937192,687.0,0.7681879648411135
Positive Regulation Of Glucose Import (GO:0046326),25,1,688.0,688.0,0.17444219066937192,687.0,0.7681879648411135
Negative Regulation Of Mononuclear Cell Migration (GO:0071676),12,1,688.0,688.0,0.17444219066937192,687.0,0.7681879648411135
Positive Regulation Of Glucose Transmembrane Transport (GO:0010828),31,1,688.0,688.0,0.17444219066937192,687.0,0.7681879648411135
Positive Regulation Of Glucose Metabolic Process (GO:0010907),15,1,688.0,688.0,0.17444219066937192,687.0,0.7681879648411135
Regulation Of Lymphocyte Migration (GO:2000401),12,1,688.0,688.0,0.17444219066937192,687.0,0.7681879648411135
