Pathway,N_Overlap,P_Value,Effect_Size,Median_Rank,FDR
Protein Deacetylation (GO:0006476),40,3.6425630962872996e-06,0.40952319292409134,24883.5,2.0512984724433654e-05
Vascular Transport (GO:0010232),83,3.76809541212452e-06,0.28389765291110436,34216.0,2.1176073390451846e-05
Apical Junction Assembly (GO:0043297),52,3.822560417578317e-06,0.3583725732851598,30473.5,2.1437864609923758e-05
Glycerophospholipid Metabolic Process (GO:0006650),60,3.831530285679903e-06,0.3336026513377899,31858.5,2.144395550833197e-05
Positive Regulation Of Endothelial Cell Proliferation (GO:0001938),72,3.841349849496224e-06,0.3045171236099349,31684.5,2.145476712654975e-05
Regulation Of Macromolecule Biosynthetic Process (GO:0010556),44,3.864339524634165e-06,0.3893743044381037,25126.5,2.1538941612715018e-05
Cellular Response To Nutrient Levels (GO:0031669),73,3.878307945244557e-06,0.3022873452959993,29881.0,2.1572592251667067e-05
Fatty Acid Beta-Oxidation (GO:0006635),48,3.983932898727174e-06,0.3722614861522012,30184.5,2.211489282558758e-05
Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),54,4.004151238738616e-06,0.35089680597386086,32530.0,2.2181856149427774e-05
Glycosaminoglycan Biosynthetic Process (GO:0006024),55,4.0725495617928636e-06,0.3474114337775154,30125.0,2.2514908146497132e-05
Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0000079),77,4.111088062324535e-06,0.2935155518057072,30628.0,2.268186517144571e-05
Lymphocyte Differentiation (GO:0030098),89,4.192333849129314e-06,0.2727712056425661,36500.0,2.3083295687513634e-05
Sensory Perception Of Mechanical Stimulus (GO:0050954),83,4.229179349170473e-06,0.2823309100242971,33614.0,2.3239126928775123e-05
Regulation Of Cell Communication (GO:0010646),48,4.362590643956162e-06,0.3706382173345685,27407.5,2.392388417653379e-05
T Cell Activation (GO:0042110),107,4.519219311978273e-06,0.2478933538016136,34939.0,2.47329507617322e-05
Positive Regulation Of Angiogenesis (GO:0045766),111,4.557049265924959e-06,0.24329227259674002,32727.0,2.48899076371805e-05
Cilium-Dependent Cell Motility (GO:0060285),18,4.608890233380561e-06,0.603551120803832,21396.0,2.512260808576178e-05
Inorganic Anion Transmembrane Transport (GO:0098661),63,4.768680257657777e-06,0.32214913050587624,33397.0,2.5901707149115203e-05
Mitotic Metaphase Plate Congression (GO:0007080),47,4.770865912392176e-06,0.3729357632891298,23190.0,2.5901707149115203e-05
Proteoglycan Metabolic Process (GO:0006029),24,4.8071524787709915e-06,0.5216356447870296,22840.0,2.6046722594137643e-05
Positive Regulation Of Epithelial Cell Migration (GO:0010634),92,4.903454362839699e-06,0.26625966502522813,34085.0,2.6515697548556622e-05
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),79,4.968394968627181e-06,0.2871297968462777,30163.0,2.6813560148146693e-05
Positive Regulation Of Inflammatory Response (GO:0050729),102,5.098331263332274e-06,0.2524017091762204,32297.0,2.7413501160635164e-05
Regulation Of Erythrocyte Differentiation (GO:0045646),34,5.099717495324042e-06,0.43701881417885924,30294.5,2.7413501160635164e-05
Regulation Of Multicellular Organismal Development (GO:2000026),52,5.2816918154051005e-06,0.352800180842219,29436.5,2.8323038110327255e-05
Axon Development (GO:0061564),93,5.2897438823699434e-06,0.26384270367998597,31293.0,2.8323038110327255e-05
Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),82,5.3502847240960784e-06,0.2808099539318347,29220.0,2.859091247454093e-05
Positive Regulation Of DNA Repair (GO:0045739),82,5.465085087361499e-06,0.2805161189970726,31692.5,2.914712046592799e-05
Positive Regulation Of Response To Stimulus (GO:0048584),71,5.561291137611417e-06,0.3011877935207844,33380.0,2.960217591840128e-05
Negative Regulation Of Mitotic Cell Cycle (GO:0045930),30,5.58733635021185e-06,0.463144999850608,22104.0,2.9682724360500457e-05
Regulation Of Regulated Secretory Pathway (GO:1903305),34,5.65242207536911e-06,0.43480831074299986,28354.5,2.9969957202736802e-05
Cellular Response To UV (GO:0034644),72,5.72331036517836e-06,0.2986654267479256,32046.5,3.0286778586157858e-05
Ceramide Metabolic Process (GO:0006672),50,5.91674966679514e-06,0.35776823692310755,27986.5,3.124962930812191e-05
Bone Development (GO:0060348),43,6.023894686752493e-06,0.3854334850919934,31216.0,3.174461800268748e-05
Calcium Ion Homeostasis (GO:0055074),99,6.033811583599055e-06,0.2540689238052152,36350.0,3.174461800268748e-05
Regulation Of Cytokinesis (GO:0032465),77,6.1046156237815204e-06,0.2878880187170343,34811.0,3.205512451097633e-05
Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0032436),75,6.146180263567951e-06,0.2915996094139216,32088.0,3.2211195215616235e-05
Neurotransmitter Transport (GO:0006836),52,6.184197049583864e-06,0.3500519155099022,34201.0,3.2348107643977136e-05
SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146),40,6.219266196844373e-06,0.3989840333874518,24489.0,3.246910567258482e-05
Cellular Response To Virus (GO:0098586),56,6.260659919817799e-06,0.33711808011476274,30136.5,3.2622595750774735e-05
Peptidyl-Tyrosine Phosphorylation (GO:0018108),66,6.284835950902183e-06,0.3104859758175955,30689.0,3.268595370258879e-05
Ubiquitin-Dependent ERAD Pathway (GO:0030433),69,6.43862929157186e-06,0.30329835480793,30013.0,3.3421892505869195e-05
Natural Killer Cell Activation (GO:0030101),44,6.486423923980405e-06,0.3796235340566121,29928.5,3.360585347281276e-05
Regulation Of Proteasomal Protein Catabolic Process (GO:0061136),48,6.580088256071428e-06,0.36320753933863936,29439.5,3.4026311894513847e-05
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),70,6.629274934117625e-06,0.30068477259884796,34003.5,3.421561256318774e-05
Positive Regulation Of Osteoblast Differentiation (GO:0045669),38,6.6689493052723315e-06,0.4079145263032081,21568.5,3.435519339079686e-05
Positive Regulation Of Transcription Elongation By RNA Polymerase II (GO:0032968),43,6.718865871600457e-06,0.3833315342202883,24148.0,3.454690958554488e-05
Positive Regulation Of Amide Metabolic Process (GO:0034250),80,6.860020788972415e-06,0.2807945634086312,35978.0,3.520614442642447e-05
Regulation Of miRNA Transcription (GO:1902893),57,6.875510940028197e-06,0.3325807545362709,29947.0,3.521918974929698e-05
Positive Regulation Of Leukocyte Chemotaxis (GO:0002690),53,6.920599343414589e-06,0.34478207456950216,30949.0,3.538351544001444e-05
Regulation Of Anatomical Structure Morphogenesis (GO:0022603),119,6.951444421342136e-06,0.23011998315943538,34911.0,3.547453813517938e-05
Muscle Contraction (GO:0006936),91,6.988891364639134e-06,0.26304415294509564,36801.0,3.559884740040907e-05
Neuron Projection Extension (GO:1990138),37,7.031417153057134e-06,0.4122859911704533,27799.0,3.574851337629048e-05
Positive Regulation Of Tumor Necrosis Factor Production (GO:0032760),77,7.093019735974692e-06,0.28572541448189115,35315.0,3.599442851091635e-05
Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0030512),74,7.176484122934299e-06,0.2912826440022718,31987.5,3.6350161665514515e-05
Negative Regulation Of BMP Signaling Pathway (GO:0030514),42,7.33906397948078e-06,0.38613856220310727,30308.5,3.710456138324855e-05
Epidermis Development (GO:0008544),81,7.780091743908245e-06,0.27728028957651496,35211.0,3.9261316407106545e-05
Glycerophospholipid Biosynthetic Process (GO:0046474),104,7.984172947652537e-06,0.24441034432263642,33332.5,4.0216574847435e-05
Post-Transcriptional Regulation Of Gene Expression (GO:0010608),51,8.037842944848423e-06,0.34880889179531716,29920.0,4.0412075434358066e-05
fatty-acyl-CoA Metabolic Process (GO:0035337),17,8.103596184519401e-06,0.6038005084527338,15056.0,4.0667493767329834e-05
ERBB Signaling Pathway (GO:0038127),52,8.163872453079065e-06,0.345164961053789,32089.0,4.084782663489132e-05
Negative Regulation Of Transport (GO:0051051),37,8.169565326978265e-06,0.4091471950037687,26983.0,4.084782663489132e-05
Spermatid Development (GO:0007286),47,8.300974843260514e-06,0.36274147844682336,27710.0,4.1428718483795595e-05
Regulation Of Transcription Elongation By RNA Polymerase II (GO:0034243),70,8.367928922549694e-06,0.2971443374245092,28293.5,4.16863858412732e-05
Lipid Biosynthetic Process (GO:0008610),68,8.408576636228812e-06,0.301404288762701,28030.0,4.181230064084528e-05
Regulation Of Insulin Secretion (GO:0050796),80,8.505913143016543e-06,0.2777329932142252,25784.0,4.221913092884123e-05
Organic Cyclic Compound Biosynthetic Process (GO:1901362),28,8.54192605528431e-06,0.46923084584051233,22949.5,4.232065368009713e-05
Kidney Development (GO:0001822),70,8.605658244031964e-06,0.2967159097540597,29312.0,4.2558891679576254e-05
Positive Regulation Of Neuron Differentiation (GO:0045666),41,8.691835680394922e-06,0.38744668673030414,20154.0,4.2907065427720846e-05
Monocarboxylic Acid Metabolic Process (GO:0032787),96,8.855044507265838e-06,0.25302863070263737,34382.5,4.363355264449833e-05
Regulation Of Establishment Of Planar Polarity (GO:0090175),28,9.135365750414267e-06,0.4676039285038478,22538.0,4.493344455899965e-05
Negative Regulation Of ERK1 And ERK2 Cascade (GO:0070373),44,9.218686944498622e-06,0.3728727917466176,30034.0,4.52614232654084e-05
Negative Regulation Of Protein-Containing Complex Assembly (GO:0031333),53,9.320308984513238e-06,0.33956362285803643,33388.0,4.567791069887569e-05
Regulated Exocytosis (GO:0045055),50,9.695475947058825e-06,0.348879038122466,27432.0,4.735920249090714e-05
Cytoskeleton Organization (GO:0007010),104,9.698189627733557e-06,0.24196560070350348,34501.0,4.735920249090714e-05
Negative Regulation Of Catabolic Process (GO:0009895),66,9.752247926152411e-06,0.303591856032302,30800.0,4.7537839353287736e-05
Cellular Response To Tumor Necrosis Factor (GO:0071356),110,9.799343896786869e-06,0.23515359320476592,36795.5,4.768195956933861e-05
Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),43,9.923182034720025e-06,0.3757368062855605,28239.0,4.8114270155848254e-05
Histone Deacetylation (GO:0016575),36,9.923568219643702e-06,0.4106300402054428,24883.5,4.8114270155848254e-05
RNA Polymerase II Preinitiation Complex Assembly (GO:0051123),46,1.0093207249285789e-05,0.3629603900921311,27923.5,4.88496863310629e-05
Membrane Fission (GO:0090148),37,1.030077879314295e-05,0.40425379562829766,25613.0,4.976575189582385e-05
Positive Regulation Of Protein Tyrosine Kinase Activity (GO:0061098),38,1.0403698629562238e-05,0.39869289954135634,26795.5,5.017386573122214e-05
Tight Junction Assembly (GO:0120192),49,1.0529016889575129e-05,0.3508993269380112,31670.0,5.068836449494575e-05
Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),77,1.0924650124673652e-05,0.2794159208666981,30558.0,5.250008540479211e-05
Monoatomic Anion Transmembrane Transport (GO:0098656),54,1.0950400948072812e-05,0.33357684512760577,33312.0,5.253102394842689e-05
Calcium-Ion Regulated Exocytosis (GO:0017156),25,1.0994585493303583e-05,0.4900808668286659,26111.0,5.265012771441152e-05
Cytosolic Transport (GO:0016482),113,1.1345924023950908e-05,0.230231924670263,36312.0,5.423710605473896e-05
Protein Localization To Cell Junction (GO:1902414),22,1.140175213296934e-05,0.521415217755406,19477.0,5.440836105557299e-05
Synaptic Vesicle Cycle (GO:0099504),37,1.1428423275826107e-05,0.40204317863680417,31227.0,5.444012488659721e-05
Positive Regulation Of Mononuclear Cell Migration (GO:0071677),31,1.1851730696600257e-05,0.438369253090517,30949.0,5.6357880235581645e-05
Positive Regulation Of RNA Splicing (GO:0033120),34,1.1992770599953422e-05,0.4183253254091892,31695.0,5.692903321443858e-05
Negative Regulation Of Protein Localization To Plasma Membrane (GO:1903077),20,1.2032203349936175e-05,0.5452961151996176,18392.0,5.701671273837351e-05
Regulation Of Neurogenesis (GO:0050767),62,1.2299065623246536e-05,0.3094093921986101,29020.5,5.817992781779231e-05
Negative Regulation Of Inflammatory Response (GO:0050728),104,1.2520078144863607e-05,0.23872044553176386,36432.5,5.91225912396337e-05
Skeletal System Morphogenesis (GO:0048705),40,1.2591495297441563e-05,0.3846852993615347,31183.0,5.9254497489289156e-05
Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),38,1.2591580716473945e-05,0.39467472154524497,28476.5,5.9254497489289156e-05
Positive Regulation Of Phagocytosis (GO:0050766),60,1.2827368639965165e-05,0.31381292527172555,32721.5,6.0259831952858804e-05
Ventricular Septum Development (GO:0003281),37,1.293677692637358e-05,0.3993905459244105,28971.0,6.0669022827131276e-05
Positive Regulation Of Protein-Containing Complex Assembly (GO:0031334),87,1.3331732315789259e-05,0.26010228567828697,35314.0,6.241361772624231e-05
Phosphatidylinositol Metabolic Process (GO:0046488),61,1.3413860075647587e-05,0.3104837287209927,31629.0,6.269020516453855e-05
Cell-Matrix Adhesion (GO:0007160),108,1.3454880130861853e-05,0.23335762378810754,35258.5,6.270608943602802e-05
Regulation Of Organelle Assembly (GO:1902115),72,1.3463366261264838e-05,0.28574259508350075,28876.5,6.270608943602802e-05
Regulation Of Receptor-Mediated Endocytosis (GO:0048259),39,1.372395326791289e-05,0.38778226760059065,24079.0,6.381051775850095e-05
Positive Regulation Of BMP Signaling Pathway (GO:0030513),23,1.395872060163674e-05,0.5044559003984375,18093.0,6.479133112022513e-05
Metaphase Plate Congression (GO:0051310),49,1.4059155158085894e-05,0.34552263747272827,27475.0,6.514634076659902e-05
Positive Regulation Of RNA Metabolic Process (GO:0051254),30,1.4312086170290143e-05,0.44111599124895007,23389.0,6.620556867889318e-05
Maturation Of SSU-rRNA (GO:0030490),32,1.4426390656398276e-05,0.4269284398187341,24486.5,6.662102306520087e-05
Regulation Of Stress Fiber Assembly (GO:0051492),71,1.4459187138340336e-05,0.2866365440515881,31710.0,6.665930341743342e-05
Myeloid Cell Differentiation (GO:0030099),54,1.4549394581817794e-05,0.3285339372425832,26709.5,6.696168064728324e-05
mRNA Transcription (GO:0009299),42,1.4603776069023185e-05,0.3724246369696841,28530.5,6.709843058740383e-05
Vascular Endothelial Growth Factor Receptor Signaling Pathway (GO:0048010),27,1.475993410383107e-05,0.46419162913535983,26185.0,6.770155271909023e-05
Protein Autoubiquitination (GO:0051865),64,1.4906396857549784e-05,0.3013945483347116,32113.0,6.82582482365916e-05
Glycosaminoglycan Metabolic Process (GO:0030203),27,1.4950565331697453e-05,0.46386703404928686,22934.0,6.830783902133702e-05
Intracellular Iron Ion Homeostasis (GO:0006879),47,1.4967452962028258e-05,0.35159516184751805,26324.0,6.830783902133702e-05
Positive Regulation Of Microtubule Polymerization (GO:0031116),28,1.509986991340014e-05,0.4552636858107483,25206.0,6.871863592544554e-05
Phospholipid Metabolic Process (GO:0006644),57,1.5107994221844275e-05,0.3191203252203032,27414.0,6.871863592544554e-05
Double-Strand Break Repair Via Nonhomologous End Joining (GO:0006303),37,1.5511924542159337e-05,0.3954770108754172,28580.0,7.04381214602227e-05
Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),66,1.573498630013169e-05,0.2959191097996131,35675.5,7.133193789393034e-05
MAPK Cascade (GO:0000165),96,1.5828187092398897e-05,0.24532033266561026,34900.5,7.163505639155575e-05
Vacuolar Transport (GO:0007034),42,1.591078182863091e-05,0.37068389385735867,32239.0,7.184076348448337e-05
Regulation Of Amide Metabolic Process (GO:0034248),35,1.5926463375420394e-05,0.40602776837114796,21266.0,7.184076348448337e-05
Natural Killer Cell Activation Involved In Immune Response (GO:0002323),22,1.6008719337657314e-05,0.5119499531489772,26836.0,7.209224602388724e-05
Vesicle Fusion (GO:0006906),73,1.6085303762251304e-05,0.28104357672319336,37156.0,7.23173987327662e-05
Heterochromatin Organization (GO:0070828),36,1.627075904233469e-05,0.3998803686107597,27844.5,7.289621080066984e-05
Histone Deubiquitination (GO:0016578),32,1.627134648423007e-05,0.4241279069767442,21169.5,7.289621080066984e-05
Amide Biosynthetic Process (GO:0043604),49,1.629444712014973e-05,0.34274931632612404,32862.0,7.289621080066984e-05
Negative Regulation Of Neuron Apoptotic Process (GO:0043524),70,1.6672349433006834e-05,0.28643250698507905,31629.5,7.446435214741969e-05
Cellular Response To Starvation (GO:0009267),115,1.6857153622766602e-05,0.22338574139098188,31944.0,7.516632435069698e-05
Positive Regulation Of Protein Localization To Nucleus (GO:1900182),69,1.694058184754166e-05,0.28824505529795286,29136.0,7.541470151442441e-05
Regulation Of Axon Extension (GO:0030516),34,1.697394335029033e-05,0.4105103491751769,26826.0,7.543974822351257e-05
Negative Regulation Of Autophagy (GO:0010507),58,1.7160359400658165e-05,0.3141514350267658,32621.0,7.614384595398077e-05
Positive Regulation Of Macroautophagy (GO:0016239),61,1.7190626216412912e-05,0.30630370789438266,29136.0,7.615391418345784e-05
Nuclear Export (GO:0051168),43,1.7241057697138462e-05,0.36473179394117405,30627.0,7.625313322962051e-05
Anterior/Posterior Pattern Specification (GO:0009952),58,1.7554884973822026e-05,0.31375603703343635,30564.0,7.751507650778557e-05
Camera-Type Eye Development (GO:0043010),24,1.7804426023842083e-05,0.48728916242584797,23678.0,7.836760209952904e-05
Regulation Of Double-Strand Break Repair (GO:2000779),80,1.78055801829077e-05,0.266972657612324,31619.0,7.836760209952904e-05
Neural Tube Closure (GO:0001843),32,1.7925918520897703e-05,0.4218620835615756,28774.0,7.876978736161835e-05
Regulation Of Bone Mineralization (GO:0030500),55,1.80948224756429e-05,0.3216527410745498,30949.0,7.938373731249789e-05
Regulation Of Nervous System Development (GO:0051960),41,1.847235836885861e-05,0.37208896671619407,28992.0,8.090952457857556e-05
Regulation Of Embryonic Development (GO:0045995),55,1.8791266171391738e-05,0.32097605329459644,30210.0,8.217402570126291e-05
Positive Regulation Of Growth (GO:0045927),72,1.888090309749408e-05,0.28048456467227956,33568.0,8.243347740799984e-05
Negative Regulation Of Ion Transmembrane Transporter Activity (GO:0032413),22,1.8994090332891132e-05,0.5071199974650654,25353.0,8.27947527331152e-05
Positive Regulation Of Protein Dephosphorylation (GO:0035307),29,1.9121761424956227e-05,0.4415453913549957,26405.0,8.32179057214095e-05
Mitotic Nuclear Division (GO:0140014),42,1.9267991114759667e-05,0.3667688819638618,27062.0,8.372034477978642e-05
Positive Regulation Of Interferon-Beta Production (GO:0032728),33,1.9342308837012058e-05,0.41366334553856965,25320.0,8.386616344650191e-05
Proteolysis Involved In Protein Catabolic Process (GO:0051603),72,1.9363217148677648e-05,0.2800887870384209,33123.5,8.386616344650191e-05
Odontogenesis (GO:0042476),38,1.955417807279662e-05,0.38526332564646015,28716.0,8.455860788236376e-05
Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),55,2.03277696192749e-05,0.3195636305675954,30545.0,8.77643386736948e-05
Positive Regulation Of miRNA Metabolic Process (GO:2000630),46,2.0541912477750608e-05,0.3492076415996064,30247.5,8.854833904830689e-05
Regulation Of T Cell Activation (GO:0050863),58,2.0711421014074784e-05,0.31086595595795385,33579.5,8.913776132639781e-05
Renal Absorption (GO:0070293),18,2.090314690635932e-05,0.5576202378699914,22110.5,8.982078923427702e-05
Response To Alcohol (GO:0097305),29,2.1242411488004844e-05,0.4389387849298998,26968.0,9.113463603686621e-05
Positive Regulation Of Ubiquitin-Dependent Protein Catabolic Process (GO:2000060),75,2.132743601504218e-05,0.27294394292660573,34425.0,9.135531647388147e-05
Negative Regulation Of DNA Metabolic Process (GO:0051053),34,2.139438803394352e-05,0.4052275213243569,24298.5,9.149801171749431e-05
Nucleosome Organization (GO:0034728),56,2.1609658802717707e-05,0.31560611214131307,32395.0,9.227358232871611e-05
Wnt Signaling Pathway (GO:0016055),75,2.2046890195995797e-05,0.27243060122357066,33228.0,9.399301149390058e-05
Positive Regulation Of Cell Death (GO:0010942),47,2.2182243580072692e-05,0.3439742451248641,31217.0,9.442206969921397e-05
Positive Regulation Of Transcription By RNA Polymerase I (GO:0045943),32,2.225876394175383e-05,0.41675651112992385,27409.5,9.459974675245377e-05
Establishment Of Protein Localization To Vacuole (GO:0072666),26,2.3246786338459557e-05,0.46119219239694087,24867.5,9.864470957973479e-05
Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200),81,2.3505166688032734e-05,0.2611982822632908,31695.0,9.958575294618231e-05
Stress-Activated MAPK Cascade (GO:0051403),41,2.3714913802539812e-05,0.36687109291109643,32348.0,0.00010031814236844213
Lung Development (GO:0030324),33,2.376547912341242e-05,0.4088633436069793,22657.0,0.00010037593667031333
Positive Regulation Of Endothelial Cell Migration (GO:0010595),80,2.385230051985042e-05,0.262603754596092,33944.0,0.0001004431477627837
B Cell Proliferation (GO:0042100),30,2.3855247593661127e-05,0.4287204411379021,26622.0,0.0001004431477627837
Protein Monoubiquitination (GO:0006513),41,2.3962255509763997e-05,0.36665293243633257,27450.0,0.00010073776659437107
Chloride Transmembrane Transport (GO:1902476),48,2.5369479606714183e-05,0.33776567485813513,33021.5,0.00010648917365781263
Liver Development (GO:0001889),35,2.5423560714263327e-05,0.39547647030366495,29624.0,0.00010655174906440099
Notch Signaling Pathway (GO:0007219),39,2.5549361076473133e-05,0.3745477614478989,24373.0,0.00010691424942770295
Negative Regulation Of Cytoskeleton Organization (GO:0051494),25,2.5596779616523564e-05,0.46772736326335496,24769.0,0.00010694814217656542
Regulation Of Pathway-Restricted SMAD Protein Phosphorylation (GO:0060393),60,2.5990867995616833e-05,0.30170258126861726,29496.5,0.00010842816096330948
Positive Regulation Of Innate Immune Response (GO:0045089),43,2.6081171354118042e-05,0.3562841474358469,27561.0,0.00010863826352710731
Response To Interleukin-1 (GO:0070555),82,2.619863022341351e-05,0.2579853714435705,35747.0,0.00010896066392612347
Regulation Of Protein Localization To Plasma Membrane (GO:1903076),79,2.6350134471077072e-05,0.26274645629406224,36815.0,0.0001094234591776025
RNA Catabolic Process (GO:0006401),52,2.678302143203512e-05,0.3235041245052701,30674.0,0.00011105155227917
Cellular Response To Hydrogen Peroxide (GO:0070301),33,2.6845755453371715e-05,0.405998553721752,28084.0,0.00011114224479934714
Carbohydrate Biosynthetic Process (GO:0016051),25,2.695493458376167e-05,0.4663283272915588,21028.0,0.00011142465359852849
Inorganic Anion Transport (GO:0015698),57,2.7157571034823493e-05,0.3087481604988762,35265.0,0.00011209194721505296
Sulfur Amino Acid Metabolic Process (GO:0000096),16,2.7536021747981154e-05,0.5821615996654086,19776.5,0.00011348178659774052
Regulation Of Cytoskeleton Organization (GO:0051493),109,2.801753258762224e-05,0.2229216609886545,35506.0,0.0001151562106892494
Skin Development (GO:0043588),67,2.803199596406261e-05,0.28426553096825324,34731.0,0.0001151562106892494
Glycolipid Biosynthetic Process (GO:0009247),41,2.8069326355504543e-05,0.3633120161234681,27755.0,0.0001151562106892494
DNA Methylation (GO:0006306),20,2.850835659699171e-05,0.5196580260314488,23361.5,0.0001167812197949058
Epidermal Cell Differentiation (GO:0009913),52,2.8780313289498773e-05,0.3221504898448665,28659.0,0.0001177179731540401
Regulation Of Activated T Cell Proliferation (GO:0046006),32,2.8932864032762645e-05,0.4104949952691599,27395.5,0.00011816424950317477
Regulation Of Rho Protein Signal Transduction (GO:0035023),69,2.9058232321861437e-05,0.2795298807634282,34603.0,0.00011849833870384275
Anterograde Axonal Transport (GO:0008089),35,2.9248286771273667e-05,0.39226480975051725,28280.0,0.00011909482038602452
Protein Lipidation (GO:0006497),59,2.940028609820655e-05,0.30206970195035643,30399.0,0.00011953479549644518
Spliceosomal Complex Assembly (GO:0000245),58,3.0367518273737816e-05,0.3040820119333931,33745.5,0.00012318453347040428
Peptidyl-Tyrosine Modification (GO:0018212),54,3.042514211789682e-05,0.315101679087613,32007.0,0.00012318453347040428
Peptide Hormone Secretion (GO:0030072),24,3.043382591621753e-05,0.47257410229087204,21673.5,0.00012318453347040428
Regulation Of Protein Autophosphorylation (GO:0031952),29,3.051394319939273e-05,0.429853095920369,25263.0,0.00012332529792325145
Extrinsic Apoptotic Signaling Pathway Via Death Domain Receptors (GO:0008625),29,3.098577015346034e-05,0.42946433722824673,23793.0,0.00012504643147983994
Regulation Of DNA Binding (GO:0051101),46,3.108199868156077e-05,0.3409607564856195,31728.0,0.00012524894283532636
Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),41,3.124835972700429e-05,0.3610303199330651,30522.0,0.00012573304505540187
Response To Zinc Ion (GO:0010043),24,3.131965233920373e-05,0.47177490298400937,19351.0,0.00012583375829044926
TOR Signaling (GO:0031929),26,3.1586193177444905e-05,0.4530441424208044,23095.5,0.00012671747115435125
Positive Regulation Of JNK Cascade (GO:0046330),74,3.205811603711592e-05,0.2683698714207966,37223.5,0.00012842131902938926
Positive Regulation Of Proteolysis (GO:0045862),53,3.2215422664940274e-05,0.3169861693361642,35315.0,0.00012861285618458526
Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087),30,3.2237445258263355e-05,0.42126013790539174,25506.0,0.00012861285618458526
Myeloid Leukocyte Differentiation (GO:0002573),70,3.225618686920494e-05,0.27582486560038944,34171.0,0.00012861285618458526
Response To Amino Acid Starvation (GO:1990928),37,3.2295066461055783e-05,0.37929686658770323,26087.0,0.00012861285618458526
Negative Regulation Of Epithelial Cell Proliferation (GO:0050680),66,3.239865344635563e-05,0.2839803722130291,34141.0,0.00012883675054691128
Axonemal Dynein Complex Assembly (GO:0070286),21,3.262777357121305e-05,0.5031203526662418,21959.0,0.00012955845856014525
Substantia Nigra Development (GO:0021762),39,3.295953952359172e-05,0.36900060834800574,29961.0,0.000130685054670801
Non-Membrane-Bounded Organelle Assembly (GO:0140694),119,3.3231188760815945e-05,0.21122578100799128,33577.0,0.00013157035433685499
Positive Regulation Of Axonogenesis (GO:0050772),36,3.4295954910434914e-05,0.38315410758414314,27449.5,0.00013558865894823107
Positive Regulation Of Receptor Signaling Pathway Via JAK-STAT (GO:0046427),36,3.4498958001779794e-05,0.38301909343532436,27959.0,0.00013608061917311568
Positive Regulation Of Cellular Component Organization (GO:0051130),100,3.452045118729772e-05,0.22987611748407866,35654.0,0.00013608061917311568
Positive Regulation Of Biomineral Tissue Development (GO:0070169),39,3.459670376257725e-05,0.36793612703491385,27854.0,0.00013618384114936344
Neutrophil Migration (GO:1990266),73,3.4661025465576925e-05,0.2689481520143391,31740.0,0.0001362398688820365
Regulation Of Protein Secretion (GO:0050708),96,3.4829112209071565e-05,0.23448685814705184,30405.0,0.0001367030089591265
Calcium-Mediated Signaling (GO:0019722),81,3.5297297921818255e-05,0.25505398312870375,35124.0,0.00013834099473680931
Regulation Of JUN Kinase Activity (GO:0043506),43,3.662940660812399e-05,0.34921479139631717,35502.0,0.000143166744942084
"Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)",45,3.663384355870973e-05,0.3413671740112094,29928.0,0.000143166744942084
"Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)",54,3.6690545258711794e-05,0.3116091296261245,31692.0,0.00014318261564375334
Oligosaccharide Biosynthetic Process (GO:0009312),22,3.6913262101473416e-05,0.4879423121319252,18228.5,0.00014384537667049813
DNA-templated DNA Replication (GO:0006261),65,3.762015602012301e-05,0.28360866806249985,37746.0,0.0001463903066877462
Regulation Of Tubulin Deacetylation (GO:0090043),15,3.818092659229587e-05,0.5897047791652559,17911.0,0.00014836017190149255
Epithelial Cell Migration (GO:0010631),44,3.838404148745605e-05,0.34425254205517775,26246.5,0.0001489366517059636
Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),27,3.853156909485418e-05,0.43932321924553774,24706.0,0.00014915251200326528
Regulation Of Telomere Maintenance Via Telomerase (GO:0032210),49,3.854934409496158e-05,0.3261394767892414,29177.0,0.00014915251200326528
Regulation Of Chemokine Production (GO:0032642),41,3.884325890090956e-05,0.35636294906317323,35314.0,0.00015007622757169602
Neurogenesis (GO:0022008),46,3.892940812235768e-05,0.33640162616344005,27320.0,0.00015019573062810337
